"test"," time-1461115964"," time-1461161168"," time-1461161168","range"
"Tests/Benchmarks/text/Data/Text/Lazy/Internal.hs"," 3.1864"," 3.3505"," 3.2104","0"
"Tests/Benchmarks/text/Data/Text/Private.hs"," 1.9353"," 2.1072"," 1.8736","0"
"Tests/Benchmarks/text/Data/Text/Unsafe.hs"," 2.4879"," 2.7116"," 1.9361","0"
"Tests/Benchmarks/text/Data/Text/UnsafeChar.hs"," 2.9527"," 3.1121"," 2.2503","0"
"Tests/Benchmarks/text/Setup.lhs"," 0.6156"," 0.7065"," 0.6714","0"
"Tests/Benchmarks/vect-algs/Data/Vector/Algorithms/Combinators.hs"," 0.6718"," 0.6961"," 0.6994","0"
"Tests/Benchmarks/vect-algs/Data/Vector/Algorithms/Common.hs"," 0.9823"," 1.0392"," 1.0005","0"
"Tests/Benchmarks/vect-algs/Data/Vector/Algorithms/Insertion.hs"," 1.2944"," 1.3234"," 1.3446","0"
"Tests/Benchmarks/vect-algs/Data/Vector/Algorithms/Radix.hs"," 2.9413"," 2.5981"," 2.3973","0"
"Tests/Benchmarks/vect-algs/Data/Vector/Algorithms/Search.hs"," 3.9284"," 3.9289"," 3.5654","0"
"Tests/Benchmarks/vect-algs/Data/Vector/Algorithms/Termination.hs"," 0.9307"," 0.9383"," 0.9612","0"
"Tests/Benchmarks/vect-algs/Setup.lhs"," 0.6866"," 0.6959"," 0.7029","0"
"Tests/Unit/crash/AbsRef.hs"," 0.6828"," 0.6719"," 0.6483","0"
"Tests/Unit/crash/Assume.hs"," 0.6923"," 0.6425"," 0.6253","0"
"Tests/Unit/crash/Assume1.hs"," 0.7135"," 0.6720"," 0.6569","0"
"Tests/Unit/crash/Ast.hs"," 0.7536"," 0.6713"," 0.6652","0"
"Tests/Unit/crash/BadExprArg.hs"," 0.7818"," 0.6511"," 0.6316","0"
"Tests/Unit/crash/BadSyn1.hs"," 0.7251"," 0.5960"," 0.5724","0"
"Tests/Unit/crash/BadSyn2.hs"," 0.7115"," 0.6045"," 0.5801","0"
"Tests/Unit/crash/BadSyn3.hs"," 0.6738"," 0.5849"," 0.5812","0"
"Tests/Unit/crash/BadSyn4.hs"," 0.5845"," 0.5841"," 0.6001","0"
"Tests/Unit/crash/CyclicExprAlias0.hs"," 0.6049"," 0.5797"," 0.5531","0"
"Tests/Unit/crash/CyclicExprAlias1.hs"," 0.6262"," 0.5736"," 0.5535","0"
"Tests/Unit/crash/CyclicExprAlias2.hs"," 0.6792"," 0.5695"," 0.5732","0"
"Tests/Unit/crash/CyclicExprAlias3.hs"," 0.5884"," 0.5763"," 0.5562","0"
"Tests/Unit/crash/CyclicPredAlias0.hs"," 0.5915"," 0.5593"," 0.5550","0"
"Tests/Unit/crash/CyclicPredAlias1.hs"," 0.6732"," 0.5706"," 0.5607","0"
"Tests/Unit/crash/CyclicPredAlias2.hs"," 0.5819"," 0.5787"," 0.5865","0"
"Tests/Unit/crash/CyclicPredAlias3.hs"," 0.5471"," 0.5676"," 0.5579","0"
"Tests/Unit/crash/CyclicTypeAlias0.hs"," 0.5546"," 0.5649"," 0.5643","0"
"Tests/Unit/crash/CyclicTypeAlias1.hs"," 0.5752"," 0.5827"," 0.5610","0"
"Tests/Unit/crash/CyclicTypeAlias2.hs"," 0.5359"," 0.5756"," 0.5896","0"
"Tests/Unit/crash/CyclicTypeAlias3.hs"," 0.5667"," 0.5630"," 0.5638","0"
"Tests/Unit/crash/FunRef1.hs"," 0.7229"," 0.6487"," 0.6558","0"
"Tests/Unit/crash/FunRef2.hs"," 0.7695"," 0.6538"," 0.6628","0"
"Tests/Unit/crash/HaskellMeasure.hs"," 0.6654"," 0.6226"," 0.6124","0"
"Tests/Unit/crash/LocalHole.hs"," 0.6894"," 0.6406"," 0.6259","0"
"Tests/Unit/crash/LocalTermExpr.hs"," 0.7357"," 0.6569"," 0.6381","0"
"Tests/Unit/crash/Mismatch.hs"," 0.7539"," 0.6296"," 0.6136","0"
"Tests/Unit/crash/MultipleRecordSelectors.hs"," 0.8127"," 0.6659"," 0.6636","0"
"Tests/Unit/crash/Qualif.hs"," 0.7707"," 0.6541"," 0.6052","0"
"Tests/Unit/crash/RClass.hs"," 0.8134"," 0.6619"," 0.6541","0"
"Tests/Unit/crash/T649.hs"," 0.8038"," 0.6731"," 0.6731","0"
"Tests/Unit/crash/Unbound.hs"," 0.7522"," 0.6499"," 0.6306","0"
"Tests/Unit/crash/errmsg-dc-num.hs"," 0.6495"," 0.6125"," 0.6041","0"
"Tests/Unit/crash/errmsg-dc-type.hs"," 0.7054"," 0.6054"," 0.6109","0"
"Tests/Unit/crash/errmsg-mismatch.hs"," 0.7132"," 0.6321"," 0.6478","0"
"Tests/Unit/crash/funref.hs"," 0.7116"," 0.6394"," 0.6404","0"
"Tests/Unit/crash/hole-crash1.hs"," 0.6378"," 0.6531"," 0.6249","0"
"Tests/Unit/crash/hole-crash2.hs"," 0.6018"," 0.6044"," 0.5916","0"
"Tests/Unit/crash/hole-crash3.hs"," 0.6093"," 0.6096"," 0.6015","0"
"Tests/Unit/crash/issue594.hs"," 0.7128"," 0.6518"," 0.6313","0"
"Tests/Unit/crash/num-float-error.hs"," 0.7433"," 0.6639"," 0.6409","0"
"Tests/Unit/crash/num-float-error1.hs"," 0.7304"," 0.6425"," 0.6418","0"
"Tests/Unit/crash/predparams.hs"," 0.6984"," 0.5913"," 0.5726","0"
"Tests/Unit/crash/typeAliasDup.hs"," 0.8058"," 0.7085"," 0.6971","0"
"Tests/Unit/eq_pos/AppendAxiom.hs"," 0.9417"," 1.0373"," 0.9680","0"
"Tests/Unit/eq_pos/Arrow.hs"," 0.6631"," 0.6527"," 0.6542","0"
"Tests/Unit/eq_pos/BasicLambdas.hs"," 1.0132"," 1.0857"," 1.0112","0"
"Tests/Unit/eq_pos/ConcatMap.hs"," 4.2933"," 4.5068"," 4.3987","0"
"Tests/Unit/eq_pos/Equational.hs"," 0.8801"," 0.9040"," 0.8808","0"
"Tests/Unit/eq_pos/MapAppend.hs"," 0.0000"," 0.0000"," 0.0000","0"
"Tests/Unit/eq_pos/MonadicLaws.hs"," 3.3978"," 3.3483"," 3.3708","0"
"Tests/Unit/eq_pos/MonadicLawsMaybe.hs"," 1.1262"," 1.1118"," 1.0860","0"
"Tests/Unit/eq_pos/MonadicLawsMaybeAssoc.hs"," 1.1945"," 1.0730"," 1.0539","0"
"Tests/Unit/error/crash/TerminationExpr.hs"," 0.6510"," 0.6553"," 0.6407","0"
"Tests/Unit/error/crash/TerminationExpr1.hs"," 0.6163"," 0.6275"," 0.6468","0"
"Tests/Unit/neg/AbsApp.hs"," 0.8254"," 0.6980"," 0.6703","0"
"Tests/Unit/neg/Ast.hs"," 0.8213"," 0.7216"," 0.7129","0"
"Tests/Unit/neg/AutoSize.hs"," 0.7924"," 0.6810"," 0.6834","0"
"Tests/Unit/neg/BadHMeas.hs"," 0.6714"," 0.6796"," 0.6703","0"
"Tests/Unit/neg/Baz.hs"," 0.7101"," 0.6964"," 0.6670","0"
"Tests/Unit/neg/BigNum.hs"," 0.7358"," 0.6787"," 0.6599","0"
"Tests/Unit/neg/Books.hs"," 0.7966"," 0.7706"," 0.7382","0"
"Tests/Unit/neg/CastedTotality.hs"," 0.7624"," 0.7698"," 0.7132","0"
"Tests/Unit/neg/Class1.hs"," 0.8840"," 0.8663"," 0.8119","0"
"Tests/Unit/neg/Class2.hs"," 0.8003"," 0.7657"," 0.7615","0"
"Tests/Unit/neg/Class3.hs"," 0.7848"," 0.7597"," 0.7114","0"
"Tests/Unit/neg/Class4.hs"," 0.7897"," 0.7366"," 0.6891","0"
"Tests/Unit/neg/Class5.hs"," 0.8092"," 0.7159"," 0.6615","0"
"Tests/Unit/neg/CompareConstraints.hs"," 1.3799"," 1.1736"," 0.9040","0"
"Tests/Unit/neg/Constraints.hs"," 0.8170"," 0.7238"," 0.6906","0"
"Tests/Unit/neg/ConstraintsAppend.hs"," 1.2255"," 1.2646"," 1.1397","0"
"Tests/Unit/neg/Eval.hs"," 0.8013"," 0.8019"," 0.7876","0"
"Tests/Unit/neg/Even.hs"," 0.6774"," 0.7150"," 0.6802","0"
"Tests/Unit/neg/FunSoundness.hs"," 0.6586"," 0.6740"," 0.7120","0"
"Tests/Unit/neg/GADTs.hs"," 0.6867"," 0.6969"," 0.6875","0"
"Tests/Unit/neg/GeneralizedTermination.hs"," 0.7521"," 0.7432"," 0.7161","0"
"Tests/Unit/neg/Gradual.hs"," 0.6711"," 0.6729"," 0.6682","0"
"Tests/Unit/neg/HasElem.hs"," 0.6702"," 0.7179"," 0.6943","0"
"Tests/Unit/neg/HolesTop.hs"," 0.6664"," 0.7138"," 0.6929","0"
"Tests/Unit/neg/LazyWhere.hs"," 0.7011"," 0.7079"," 0.6965","0"
"Tests/Unit/neg/LazyWhere1.hs"," 0.6950"," 0.7158"," 0.7018","0"
"Tests/Unit/neg/LiquidClass.hs"," 0.6753"," 0.7109"," 0.6617","0"
"Tests/Unit/neg/LiquidClass1.hs"," 0.6671"," 0.7008"," 0.6731","0"
"Tests/Unit/neg/ListConcat.hs"," 0.6665"," 0.7191"," 0.7085","0"
"Tests/Unit/neg/ListElem.hs"," 0.6656"," 0.7133"," 0.7419","0"
"Tests/Unit/neg/ListISort-LType.hs"," 0.8659"," 0.8864"," 0.8611","0"
"Tests/Unit/neg/ListISort.hs"," 1.2683"," 1.2830"," 1.0671","0"
"Tests/Unit/neg/ListKeys.hs"," 0.7026"," 0.7303"," 0.7264","0"
"Tests/Unit/neg/ListMSort.hs"," 2.2740"," 2.3110"," 1.6819","0"
"Tests/Unit/neg/ListQSort.hs"," 1.0679"," 1.1141"," 1.0460","0"
"Tests/Unit/neg/ListRange.hs"," 0.7380"," 0.7654"," 0.7804","0"
"Tests/Unit/neg/LocalSpec.hs"," 0.6830"," 0.7220"," 0.7150","0"
"Tests/Unit/neg/MeasureContains.hs"," 0.7112"," 0.7333"," 0.8200","0"
"Tests/Unit/neg/MeasureDups.hs"," 0.7345"," 0.7653"," 0.8588","0"
"Tests/Unit/neg/MergeSort.hs"," 2.0605"," 2.1238"," 1.3438","0"
"Tests/Unit/neg/NoExhaustiveGuardsError.hs"," 0.6780"," 0.6872"," 0.7814","0"
"Tests/Unit/neg/NoMethodBindingError.hs"," 0.6274"," 0.6504"," 0.7176","0"
"Tests/Unit/neg/PairMeasure.hs"," 0.6885"," 0.7029"," 0.7558","0"
"Tests/Unit/neg/Propability.hs"," 0.9123"," 0.9566"," 0.8939","0"
"Tests/Unit/neg/Propability0.hs"," 0.6996"," 0.7481"," 0.7487","0"
"Tests/Unit/neg/RG.hs"," 0.9912"," 1.0422"," 1.2135","0"
"Tests/Unit/neg/RecQSort.hs"," 0.8605"," 0.8938"," 0.9029","0"
"Tests/Unit/neg/RecSelector.hs"," 0.6549"," 0.6789"," 0.7287","0"
"Tests/Unit/neg/SafePartialFunctions.hs"," 0.6918"," 0.7189"," 0.7686","0"
"Tests/Unit/neg/Solver.hs"," 1.1247"," 1.1037"," 1.1956","0"
"Tests/Unit/neg/StateConstraints.hs"," 1.2433"," 1.2537"," 1.2954","0"
"Tests/Unit/neg/StateConstraints00.hs"," 0.6791"," 0.6876"," 0.7078","0"
"Tests/Unit/neg/Strata.hs"," 0.6523"," 0.6794"," 0.6898","0"
"Tests/Unit/neg/StreamInvariants.hs"," 0.6622"," 0.6888"," 0.7383","0"
"Tests/Unit/neg/StrictPair0.hs"," 0.6820"," 0.6928"," 0.7305","0"
"Tests/Unit/neg/StrictPair1.hs"," 0.8552"," 0.9041"," 0.9394","0"
"Tests/Unit/neg/Strings.hs"," 0.6682"," 0.6906"," 0.7159","0"
"Tests/Unit/neg/Sum.hs"," 0.7439"," 0.7631"," 0.7802","0"
"Tests/Unit/neg/T602.hs"," 0.6645"," 0.6857"," 0.7146","0"
"Tests/Unit/neg/TermReal.hs"," 0.6593"," 0.6863"," 0.7180","0"
"Tests/Unit/neg/TerminationNum.hs"," 0.6888"," 0.7007"," 0.7257","0"
"Tests/Unit/neg/TerminationNum0.hs"," 0.6806"," 0.7054"," 0.7455","0"
